Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Cedric Mullins,orioles,29.0,CF,Left,147.0,499.0,444.0,69.0,,16.0,3.0,18.0,54.0,32.0,6.0,41.0,98.0,5.0,180.0,1.0,2.0,2.0,0.0,0.234,0.305,0.405,0.71,104.0,0.322,107.0,2.6,
Ramón Urías,orioles,30.0,3B,Right,100.0,301.0,272.0,39.0,,9.0,2.0,11.0,37.0,1.0,1.0,23.0,55.0,5.0,115.0,0.0,0.0,1.0,0.0,0.254,0.322,0.423,0.745,114.0,0.326,117.0,1.5,
James McCann,orioles,34.0,C,Right,65.0,233.0,214.0,27.0,,9.0,0.0,8.0,31.0,1.0,0.0,13.0,56.0,2.0,83.0,3.0,0.0,4.0,0.0,0.234,0.279,0.388,0.667,91.0,0.293,93.0,0.8,
Jorge Mateo,orioles,29.0,2B,Right,68.0,208.0,192.0,30.0,,14.0,2.0,5.0,18.0,13.0,2.0,10.0,48.0,1.0,77.0,3.0,2.0,3.0,0.0,0.229,0.267,0.401,0.668,91.0,0.294,87.0,0.9,
Austin Hays,orioles,28.0,LF,Right,63.0,175.0,157.0,18.0,,13.0,0.0,3.0,14.0,0.0,1.0,9.0,40.0,6.0,62.0,1.0,1.0,2.0,1.0,0.255,0.316,0.395,0.711,105.0,0.316,112.0,0.2,
Jackson Holliday,orioles,20.0,2B,Left,60.0,208.0,190.0,28.0,,4.0,2.0,5.0,23.0,4.0,0.0,15.0,69.0,2.0,59.0,1.0,0.0,1.0,0.0,0.189,0.255,0.311,0.565,63.0,0.265,70.0,0.1,
Heston Kjerstad,orioles,25.0,OF,Left,39.0,114.0,99.0,8.0,,2.0,0.0,4.0,14.0,1.0,0.0,10.0,33.0,5.0,39.0,0.0,0.0,0.0,2.0,0.253,0.351,0.394,0.745,116.0,0.336,123.0,0.4,
Eloy Jiménez,orioles,27.0,DH,Right,33.0,100.0,95.0,7.0,,5.0,0.0,1.0,7.0,0.0,0.0,4.0,23.0,1.0,30.0,2.0,0.0,0.0,0.0,0.232,0.27,0.316,0.586,70.0,0.276,81.0,-0.2,
Emmanuel Rivera,orioles,28.0,3B,Right,27.0,73.0,64.0,9.0,,3.0,1.0,4.0,14.0,0.0,0.0,6.0,18.0,1.0,37.0,2.0,0.0,2.0,0.0,0.313,0.37,0.578,0.948,170.0,0.392,165.0,0.2,
Austin Slater,orioles,31.0,OF,Right,33.0,79.0,69.0,10.0,,3.0,0.0,1.0,6.0,1.0,1.0,8.0,23.0,2.0,23.0,2.0,0.0,0.0,0.0,0.246,0.342,0.333,0.675,98.0,0.311,109.0,0.5,
Kyle Stowers,orioles,26.0,OF,Left,19.0,37.0,36.0,3.0,,4.0,0.0,1.0,9.0,0.0,1.0,0.0,13.0,0.0,18.0,0.0,0.0,1.0,0.0,0.306,0.297,0.5,0.797,126.0,0.346,141.0,0.2,
